team_id,player_name,player_id
158,R. Worster,4701995
235,PJ Carter,4702000
2097,G. Mokseckas,4702004
2547,V. Pandža,4702010
2547,K. Williamson,4702017
12,L. Lloyd,4702029
2617,J. Stone,4702041
149,T. Sawyer,4702042
201,D. Miles,4702049
250,B. Talbot,4702054
2272,D. Williams,4702065
276,N. Martin,4702068
147,T. Patterson,4702074
2504,Z. Sawyer,4702090
259,C. Serven,4702097
221,Z. Austin,4702099
2379,E. Johnson,4702109
2253,C. Moore,4702110
2724,J. Hill,4702127
2197,L. Grbovic,4702131
2547,P. Dawson,4702138
338,D. Heard,4702175
2253,R. Harrison,4702195
116,X. Lipscomb,4702218
97,A. McCool,4702228
30,T. Williams II,4702236
77,Ty Berry,4702288
77,M. Nicholson,4702289
2230,A. Tsimbila,4702329
2692,D. Koehler,4702350
2440,K. Sanders,4702352
12,G. Weitman,4702373
331,P. Dziuba,4702377
59,L. O'Brien,4702380
36,N. Clifford,4702384
245,A. Garcia,4702431
145,M. Murrell,4702442
198,C. Rosario,4702465
38,A. Jakimovski,4702466
2541,J. O'Neil,4702481
333,L. Wrightsell Jr.,4702484
2752,D. Maddox Jr.,4702487
104,M. Brewster,4702490
249,A. Wright,4702491
2086,A. Screen,4702499
111,S. Thomson,4702501
2463,J. Martindale,4702512
2492,A. Faure,4702520
96,J. Robinson,4702528
189,T. Thomas,4702531
275,C. Gilmore,4702534
302,N. Rocak,4702596
2550,Y. Toumi,4702598
2026,CJ Huntley,4702602
30,B. Pope,4702606
253,R. Jeter,4702621
252,D. Baker,4702626
264,DJ Davis,4702628
233,M. Burchill,4702649
21,N. Boyd,4702654
8,J. Davis,4702655
57,A. Martin,4702656
264,T. Ihenacho,4702666
333,G. Nelson,4702670
2473,J. Woodrich,4702699
94,T. Robinson,4702713
142,M. Warrick,4702714
194,M. Parrish,4702719
12,T. Townsend,4702721
21,J. Coleman-Jones,4702730
2026,J. Threadgill,4702738
96,A. Carr,4702743
96,A. Williams,4702745
250,D. Burford,4702759
2501,V. Masic,4702764
97,T. Edwards Jr.,4702766
97,J. Hadley,4702784
2086,J. Telfort,4702785
2349,Y. Covington,4702871
2870,J. DeJurnett,4702942
77,J. Leach,4702945
2483,S. Cook,4702946
2754,S. Uijtendaal,4702950
30,C. Slajchert,4702954
2454,L. Murphy,4702975
2378,J. Odunowo,4702976
2803,K. Farris,4702996
2168,E. Cheeks,4703000
167,N. Junior Joseph,4703015
68,O. Stanley,4703032
93,K. Milton,4703071
251,Z. Onyema,4703082
2116,J. Ivy-Curry,4703122
116,T. Ard Jr.,4703134
2239,J. Square,4703146
82,J. Reaves,4703169
2754,N. Galette,4703183
2154,Z. Harrison,4703193
2130,N. Crawford,4703207
2294,E. Brauns,4703219
93,J. Wood,4703220
305,I. Rivera,4703224
158,B. Meah,4703242
2097,N. Dorsey,4703253
2294,D. Thelwell,4703260
2565,R. Taylor,4703380
23,D. Yap,4703386
315,J. Martinez,4703388
2440,X. DuSell,4703394
2250,G. Ike,4703396
2535,T. Fort,4703411
2335,T. Peter,4703421
2066,T. Chenery,4703434
264,L. Kortright,4703435
333,M. Sears,4703530
189,S. Towns,4703531
2483,R. Moss,4703538
2335,K. Metheny,4703572
2737,K. Harrison,4703629
2504,B. Bush,4703637
2534,K. Scroggins,4703685
2617,N. Antwi-Boasiako,4703693
2724,AJ McGinnis,4703826
338,R. Wright,4703831
236,T. Bonham,4703868
28,T. McGhie,4703883
275,M. Klesmit,4703885
201,S. Godwin,4703886
2579,N. Pringle,4703887
251,J. Kent,4703889
292,H. Fleming Jr.,4703899
251,J. Larry,4703907
66,N. Heise,4703912
36,B. Born,4703913
135,L. Patterson,4703979
276,J. Speer,4704015
50,M. Matthews,4704090
2066,N. Benson,4705270
236,F. Champion,4706016
2737,R. Jolly,4706129
142,J. Gray,4706679
233,C. Forte,4706918
193,D. Luers,4707008
2674,T. Schmidt,4707808
2377,J. Charles,4708075
198,J. Miller,4708076
